Feb 10 19:40:28 dsm-f kernel: [   97.721236] SoftIWARP attached
Feb 10 19:40:28 dsm-f kernel: [   97.765615] [dsm_init] ip : 192.168.1.106
Feb 10 19:40:28 dsm-f kernel: [   97.765617] [dsm_init] port : 4444
Feb 10 19:40:38 dsm-f kernel: [  108.220973] [DSM_DSM]
Feb 10 19:42:57 dsm-f kernel: [  247.346970]  [_dsm_extract_page] got page ffffea00105e0540  
Feb 10 19:42:57 dsm-f kernel: [  247.346973]  [_dsm_extract_page] faulting for page 00007f41e846f000  
Feb 10 19:42:57 dsm-f kernel: [  247.346976]  [_dsm_extract_page] got page ffffea00105e06c0  
Feb 10 19:42:57 dsm-f kernel: [  247.346977]  [_dsm_extract_page] faulting for page 00007f41e8470000  
Feb 10 19:42:57 dsm-f kernel: [  247.346979]  [_dsm_extract_page] got page ffffea00105e0700  
Feb 10 19:42:57 dsm-f kernel: [  247.346982]  [_dsm_extract_page] faulting for page 00007f41e8471000  
Feb 10 19:42:57 dsm-f kernel: [  247.346984]  [_dsm_extract_page] got page ffffea00105e0740  
Feb 10 19:42:57 dsm-f kernel: [  247.346986]  [_dsm_extract_page] faulting for page 00007f41e8472000  
Feb 10 19:42:57 dsm-f kernel: [  247.346988]  [_dsm_extract_page] got page ffffea00105e0780  
Feb 10 19:42:57 dsm-f kernel: [  247.346989]  [_dsm_extract_page] faulting for page 00007f41e8473000  
Feb 10 19:42:57 dsm-f kernel: [  247.346992]  [_dsm_extract_page] got page ffffea00105e07c0  
Feb 10 19:42:57 dsm-f kernel: [  247.346993]  [_dsm_extract_page] faulting for page 00007f41e8474000  
Feb 10 19:42:57 dsm-f kernel: [  247.346995]  [_dsm_extract_page] got page ffffea00105e0800  
Feb 10 19:42:57 dsm-f kernel: [  247.346997]  [_dsm_extract_page] faulting for page 00007f41e8475000  
Feb 10 19:42:57 dsm-f kernel: [  247.346999]  [_dsm_extract_page] got page ffffea00105e0840  
Feb 10 19:42:57 dsm-f kernel: [  247.347001]  [_dsm_extract_page] faulting for page 00007f41e8476000  
Feb 10 19:42:57 dsm-f kernel: [  247.347003]  [_dsm_extract_page] got page ffffea00105e0880  
Feb 10 19:42:57 dsm-f kernel: [  247.347005]  [_dsm_extract_page] faulting for page 00007f41e8477000  
Feb 10 19:42:57 dsm-f kernel: [  247.347007]  [_dsm_extract_page] got page ffffea00105e08c0  
Feb 10 19:42:57 dsm-f kernel: [  247.347008]  [_dsm_extract_page] faulting for page 00007f41e8478000  
Feb 10 19:42:57 dsm-f kernel: [  247.347010]  [_dsm_extract_page] got page ffffea00105e0900  
Feb 10 19:42:57 dsm-f kernel: [  247.347012]  [_dsm_extract_page] faulting for page 00007f41e8479000  
Feb 10 19:42:57 dsm-f kernel: [  247.347015]  [_dsm_extract_page] got page ffffea00105e0940  
Feb 10 19:42:57 dsm-f kernel: [  247.347016]  [_dsm_extract_page] faulting for page 00007f41e847a000  
Feb 10 19:42:57 dsm-f kernel: [  247.347018]  [_dsm_extract_page] got page ffffea00105e0980  
Feb 10 19:42:57 dsm-f kernel: [  247.347020]  [_dsm_extract_page] faulting for page 00007f41e847b000  
Feb 10 19:42:57 dsm-f kernel: [  247.347022]  [_dsm_extract_page] got page ffffea00105e09c0  
Feb 10 19:42:57 dsm-f kernel: [  247.347024]  [_dsm_extract_page] faulting for page 00007f41e847c000  
Feb 10 19:42:57 dsm-f kernel: [  247.347026]  [_dsm_extract_page] got page ffffea00105e0a00  
Feb 10 19:42:57 dsm-f kernel: [  247.347028]  [_dsm_extract_page] faulting for page 00007f41e847d000  
Feb 10 19:42:57 dsm-f kernel: [  247.347030]  [_dsm_extract_page] got page ffffea00105e0a40  
Feb 10 19:42:57 dsm-f kernel: [  247.347032]  [_dsm_extract_page] faulting for page 00007f41e847e000  
Feb 10 19:42:57 dsm-f kernel: [  247.347034]  [_dsm_extract_page] got page ffffea00105e0a80  
Feb 10 19:42:57 dsm-f kernel: [  247.347035]  [_dsm_extract_page] faulting for page 00007f41e847f000  
Feb 10 19:42:57 dsm-f kernel: [  247.347037]  [_dsm_extract_page] got page ffffea00105e0ac0  
Feb 10 19:42:57 dsm-f kernel: [  247.347039]  [_dsm_extract_page] faulting for page 00007f41e8480000  
Feb 10 19:42:57 dsm-f kernel: [  247.347041]  [_dsm_extract_page] got page ffffea00105e0b00  
Feb 10 19:42:57 dsm-f kernel: [  247.347043]  [_dsm_extract_page] faulting for page 00007f41e8481000  
Feb 10 19:42:57 dsm-f kernel: [  247.347045]  [_dsm_extract_page] got page ffffea00105e0b40  
Feb 10 19:42:57 dsm-f kernel: [  247.347047]  [_dsm_extract_page] faulting for page 00007f41e8482000  
Feb 10 19:42:57 dsm-f kernel: [  247.347049]  [_dsm_extract_page] got page ffffea00105e0b80  
Feb 10 19:42:57 dsm-f kernel: [  247.347051]  [_dsm_extract_page] faulting for page 00007f41e8483000  
Feb 10 19:42:57 dsm-f kernel: [  247.347053]  [_dsm_extract_page] got page ffffea00105e0bc0  
Feb 10 19:42:57 dsm-f kernel: [  247.347054]  [_dsm_extract_page] faulting for page 00007f41e8484000  
Feb 10 19:42:57 dsm-f kernel: [  247.347057]  [_dsm_extract_page] got page ffffea00105e0c00  
Feb 10 19:42:57 dsm-f kernel: [  247.347058]  [_dsm_extract_page] faulting for page 00007f41e8485000  
Feb 10 19:42:57 dsm-f kernel: [  247.347060]  [_dsm_extract_page] got page ffffea00105e0c40  
Feb 10 19:42:57 dsm-f kernel: [  247.347062]  [_dsm_extract_page] faulting for page 00007f41e8486000  
Feb 10 19:42:57 dsm-f kernel: [  247.347064]  [_dsm_extract_page] got page ffffea00105e0c80  
Feb 10 19:42:57 dsm-f kernel: [  247.347066]  [_dsm_extract_page] faulting for page 00007f41e8487000  
Feb 10 19:42:57 dsm-f kernel: [  247.347068]  [_dsm_extract_page] got page ffffea00105e0cc0  
Feb 10 19:42:57 dsm-f kernel: [  247.347070]  [_dsm_extract_page] faulting for page 00007f41e8488000  
Feb 10 19:42:57 dsm-f kernel: [  247.347072]  [_dsm_extract_page] got page ffffea00105e0d00  
Feb 10 19:42:57 dsm-f kernel: [  247.347074]  [_dsm_extract_page] faulting for page 00007f41e8489000  
Feb 10 19:42:57 dsm-f kernel: [  247.347076]  [_dsm_extract_page] got page ffffea00105e0d40  
Feb 10 19:42:57 dsm-f kernel: [  247.347078]  [_dsm_extract_page] faulting for page 00007f41e848a000  
Feb 10 19:42:57 dsm-f kernel: [  247.347080]  [_dsm_extract_page] got page ffffea00105e0d80  
Feb 10 19:42:57 dsm-f kernel: [  247.347081]  [_dsm_extract_page] faulting for page 00007f41e848b000  
Feb 10 19:42:57 dsm-f kernel: [  247.347084]  [_dsm_extract_page] got page ffffea00105e0dc0  
Feb 10 19:42:57 dsm-f kernel: [  247.347085]  [_dsm_extract_page] faulting for page 00007f41e848c000  
Feb 10 19:42:57 dsm-f kernel: [  247.347087]  [_dsm_extract_page] got page ffffea00105e0e00  
Feb 10 19:42:57 dsm-f kernel: [  247.347089]  [_dsm_extract_page] faulting for page 00007f41e848d000  
Feb 10 19:42:57 dsm-f kernel: [  247.347091]  [_dsm_extract_page] got page ffffea00105e0e40  
Feb 10 19:42:57 dsm-f kernel: [  247.347093]  [_dsm_extract_page] faulting for page 00007f41e848e000  
Feb 10 19:42:57 dsm-f kernel: [  247.347095]  [_dsm_extract_page] got page ffffea00105e0e80  
Feb 10 19:42:57 dsm-f kernel: [  247.347097]  [_dsm_extract_page] faulting for page 00007f41e848f000  
Feb 10 19:42:57 dsm-f kernel: [  247.347099]  [_dsm_extract_page] got page ffffea00105e0ec0  
Feb 10 19:42:57 dsm-f kernel: [  247.347101]  [_dsm_extract_page] faulting for page 00007f41e8490000  
Feb 10 19:42:57 dsm-f kernel: [  247.347103]  [_dsm_extract_page] got page ffffea00105e0f00  
Feb 10 19:42:57 dsm-f kernel: [  247.347105]  [_dsm_extract_page] faulting for page 00007f41e85e6000  
Feb 10 19:42:57 dsm-f kernel: [  247.347455]  [_dsm_extract_page] got page ffffea00105e6480  
Feb 10 19:42:57 dsm-f kernel: [  247.347458]  [_dsm_extract_page] faulting for page 00007f42db15b000  
Feb 10 19:42:57 dsm-f kernel: [  247.349968]  [_dsm_extract_page] got page ffffea000fbc2f40  
Feb 10 19:42:57 dsm-f kernel: [  247.349972]  [_dsm_extract_page] faulting for page 00007f42db15c000  
Feb 10 19:42:57 dsm-f kernel: [  247.349974]  [_dsm_extract_page] got page ffffea000fbc2f80  
Feb 10 19:42:57 dsm-f kernel: [  247.349976]  [_dsm_extract_page] faulting for page 00007f42db15d000  
